"POQL, 40000, Update Interval:2000InitEps:0.9, TargetEps:0.1,AlergiaEps:0.1,Curiosity:10,Freeze:20000"
1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000,29000,30000,31000,32000,33000,34000,35000,36000
0,0,0,0,0,0,0,0,0,0,0,0,9,28,30,10,0,57,61,0,1,0,69,0,7,90,28,0,78,0,0,22,65,85,0,100
-26.8,-26.8,-26.75,-27.28,-27.28,-26.8,-27.18,-27.25,-24.98,-21.9,-26.02,-23.15,-12.05,10.79,9.13,-14.45,-25.2,48.68,51.08,-20.16,-23.63,-22.99,61.9,-20.37,-15.91,86.33,6.34,-24.23,69.61,-27.02,-23.6,2.15,58.01,79.5,-23.96,99.85
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,141.15,117.57,133.25,140.28,150.0,88.92,91.23,150.0,149.6,150.0,80.28,150.0,142.24,52.37,137.98,150.0,73.37,150.0,150.0,128.37,76.37,59.12,150.0,43.92
"POQL, 40000, ModelType:mdp,Update Interval:2000InitEps:0.9, TargetEps:0.1,AlergiaEps:0.1,Curiosity:10,Freeze:20000"
1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000,29000,30000,31000,32000,33000,34000,35000,36000,37000,38000,39000,40000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,0,0
-27.22,-26.06,-22.25,-27.12,-26.16,-26.46,-27.18,-25.97,-27.09,-26.99,-27.0,-26.67,-27.15,-23.89,-26.99,-22.1,-27.12,-27.28,-26.93,-22.08,-24.24,-27.02,-21.99,-26.94,-23.82,-27.06,-24.95,-25.6,-27.09,-27.12,-25.6,-22.41,-25.8,-20.6,-26.16,-22.07,-17.92,-17.68,-27.12,-23.86
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,146.78,143.48,144.6,150.0,150.0
